Topic,Word,P
0,미국,0.030898619443178177
0,오바마,0.028292598202824593
0,트럼프,0.017375249415636063
0,행정부,0.014049213379621506
0,부시,0.009942012839019299
1,주의,0.018206635490059853
1,이후,0.016468530520796776
1,정치,0.01623772829771042
1,백인,0.015417425893247128
1,오바마,0.014023975469172001
0,미국,0.030898619443178177
0,오바마,0.028292598202824593
0,트럼프,0.017375249415636063
0,행정부,0.014049213379621506
0,부시,0.009942012839019299
1,주의,0.018206635490059853
1,이후,0.016468530520796776
1,정치,0.01623772829771042
1,백인,0.015417425893247128
1,오바마,0.014023975469172001
0,미국,0.030898619443178177
0,오바마,0.028292598202824593
0,트럼프,0.017375249415636063
0,행정부,0.014049213379621506
0,부시,0.009942012839019299
1,주의,0.018206635490059853
1,이후,0.016468530520796776
1,정치,0.01623772829771042
1,백인,0.015417425893247128
1,오바마,0.014023975469172001
0,미국,0.030898619443178177
0,오바마,0.028292598202824593
0,트럼프,0.017375249415636063
0,행정부,0.014049213379621506
0,부시,0.009942012839019299
1,주의,0.018206635490059853
1,이후,0.016468530520796776
1,정치,0.01623772829771042
1,백인,0.015417425893247128
1,오바마,0.014023975469172001
0,미국,0.030898619443178177
0,오바마,0.028292598202824593
0,트럼프,0.017375249415636063
0,행정부,0.014049213379621506
0,부시,0.009942012839019299
1,주의,0.018206635490059853
1,이후,0.016468530520796776
1,정치,0.01623772829771042
1,백인,0.015417425893247128
1,오바마,0.014023975469172001
0,미국,0.030898619443178177
0,오바마,0.028292598202824593
0,트럼프,0.017375249415636063
0,행정부,0.014049213379621506
0,부시,0.009942012839019299
1,주의,0.018206635490059853
1,이후,0.016468530520796776
1,정치,0.01623772829771042
1,백인,0.015417425893247128
1,오바마,0.014023975469172001
0,오바마,0.021249035373330116
0,미국,0.01996118389070034
0,정치,0.012878059409558773
0,트럼프,0.012877816334366798
0,주의,0.011589906178414822
0,오바마,0.021249035373330116
0,미국,0.01996118389070034
0,정치,0.012878059409558773
0,트럼프,0.012877816334366798
0,주의,0.011589906178414822
0,오바마,0.021249035373330116
0,미국,0.01996118389070034
0,정치,0.012878059409558773
0,트럼프,0.012877816334366798
0,주의,0.011589906178414822
0,오바마,0.021249035373330116
0,미국,0.01996118389070034
0,정치,0.012878059409558773
0,트럼프,0.012877816334366798
0,주의,0.011589906178414822
0,오바마,0.021249035373330116
0,미국,0.01996118389070034
0,정치,0.012878059409558773
0,트럼프,0.012877816334366798
0,주의,0.011589906178414822
